GEOID,NAME,variable,estimate,moe
05113,"Polk County, Arkansas",B19013_001,37974,2051
05115,"Pope County, Arkansas",B19013_001,43462,2913
05117,"Prairie County, Arkansas",B19013_001,42660,3549
05119,"Pulaski County, Arkansas",B19013_001,51749,952
05121,"Randolph County, Arkansas",B19013_001,37218,2009
05123,"St. Francis County, Arkansas",B19013_001,35348,2831
05125,"Saline County, Arkansas",B19013_001,64412,1765
05127,"Scott County, Arkansas",B19013_001,36092,5599
05129,"Searcy County, Arkansas",B19013_001,36438,3138
05131,"Sebastian County, Arkansas",B19013_001,46228,1715
05133,"Sevier County, Arkansas",B19013_001,47704,3000
05135,"Sharp County, Arkansas",B19013_001,34671,2868
05137,"Stone County, Arkansas",B19013_001,38188,4048
05139,"Union County, Arkansas",B19013_001,44663,3590
05141,"Van Buren County, Arkansas",B19013_001,38499,2590
05143,"Washington County, Arkansas",B19013_001,50451,1049
05145,"White County, Arkansas",B19013_001,44029,2554
05147,"Woodruff County, Arkansas",B19013_001,32845,4860
05149,"Yell County, Arkansas",B19013_001,43923,3322
06001,"Alameda County, California",B19013_001,99406,921
06003,"Alpine County, California",B19013_001,63750,17778
06005,"Amador County, California",B19013_001,62772,2756
06007,"Butte County, California",B19013_001,52537,1618
06009,"Calaveras County, California",B19013_001,63158,4128
06011,"Colusa County, California",B19013_001,59401,4265
06013,"Contra Costa County, California",B19013_001,99716,1157
06015,"Del Norte County, California",B19013_001,45283,5017
06017,"El Dorado County, California",B19013_001,83377,2342
06019,"Fresno County, California",B19013_001,53969,794
06021,"Glenn County, California",B19013_001,49633,2854
06023,"Humboldt County, California",B19013_001,48041,1798
06025,"Imperial County, California",B19013_001,47622,1761
06027,"Inyo County, California",B19013_001,57316,4087
06029,"Kern County, California",B19013_001,53350,909
06031,"Kings County, California",B19013_001,57848,1714
06033,"Lake County, California",B19013_001,47040,2697
06035,"Lassen County, California",B19013_001,56352,2090
06037,"Los Angeles County, California",B19013_001,68044,347
06039,"Madera County, California",B19013_001,57585,2351
06041,"Marin County, California",B19013_001,115246,3328
06043,"Mariposa County, California",B19013_001,48820,4413
06045,"Mendocino County, California",B19013_001,51416,2038
06047,"Merced County, California",B19013_001,53672,1936
06049,"Modoc County, California",B19013_001,45507,5925
06051,"Mono County, California",B19013_001,62260,6457
06053,"Monterey County, California",B19013_001,71015,1262
06055,"Napa County, California",B19013_001,88596,2026
06057,"Nevada County, California",B19013_001,66096,3314
06059,"Orange County, California",B19013_001,90234,540
06061,"Placer County, California",B19013_001,89691,1824
06063,"Plumas County, California",B19013_001,55359,4650
06065,"Riverside County, California",B19013_001,67005,638
06067,"Sacramento County, California",B19013_001,67151,802
06069,"San Benito County, California",B19013_001,86958,4946
06071,"San Bernardino County, California",B19013_001,63362,581
06073,"San Diego County, California",B19013_001,78980,723
06075,"San Francisco County, California",B19013_001,112449,1612
06077,"San Joaquin County, California",B19013_001,64432,745
06079,"San Luis Obispo County, California",B19013_001,73518,1656
06081,"San Mateo County, California",B19013_001,122641,1680
06083,"Santa Barbara County, California",B19013_001,74624,1710
06085,"Santa Clara County, California",B19013_001,124055,1117
06087,"Santa Cruz County, California",B19013_001,82234,2168
06089,"Shasta County, California",B19013_001,54667,1486
06091,"Sierra County, California",B19013_001,52148,13874
06093,"Siskiyou County, California",B19013_001,45241,2380
06095,"Solano County, California",B19013_001,81472,1384
06097,"Sonoma County, California",B19013_001,81018,1194
06099,"Stanislaus County, California",B19013_001,60704,1045
06101,"Sutter County, California",B19013_001,59050,2491
06103,"Tehama County, California",B19013_001,44514,2916
06105,"Trinity County, California",B19013_001,40846,3837
06107,"Tulare County, California",B19013_001,49687,1171
06109,"Tuolumne County, California",B19013_001,60108,4605
06111,"Ventura County, California",B19013_001,88131,1069
06113,"Yolo County, California",B19013_001,70228,1616
06115,"Yuba County, California",B19013_001,58054,2384
08001,"Adams County, Colorado",B19013_001,71202,1176
08003,"Alamosa County, Colorado",B19013_001,37515,3772
08005,"Arapahoe County, Colorado",B19013_001,77469,1006
08007,"Archuleta County, Colorado",B19013_001,52221,3699
08009,"Baca County, Colorado",B19013_001,35878,4195
08011,"Bent County, Colorado",B19013_001,30900,2629
08013,"Boulder County, Colorado",B19013_001,83019,1785
08014,"Broomfield County, Colorado",B19013_001,96416,2241
08015,"Chaffee County, Colorado",B19013_001,55771,2838
08017,"Cheyenne County, Colorado",B19013_001,53977,12544
08019,"Clear Creek County, Colorado",B19013_001,67060,10195
08021,"Conejos County, Colorado",B19013_001,36084,2787
08023,"Costilla County, Colorado",B19013_001,30965,4205
08025,"Crowley County, Colorado",B19013_001,42135,6436
08027,"Custer County, Colorado",B19013_001,53119,7591
08029,"Delta County, Colorado",B19013_001,45269,3334
08031,"Denver County, Colorado",B19013_001,68592,1281
08033,"Dolores County, Colorado",B19013_001,45972,8828
08035,"Douglas County, Colorado",B19013_001,119730,1710
08037,"Eagle County, Colorado",B19013_001,84790,4430
08039,"Elbert County, Colorado",B19013_001,99199,6613
08041,"El Paso County, Colorado",B19013_001,68779,941
08043,"Fremont County, Colorado",B19013_001,49409,1820
08045,"Garfield County, Colorado",B19013_001,75937,3447
08047,"Gilpin County, Colorado",B19013_001,76429,11197
08049,"Grand County, Colorado",B19013_001,71198,4313
08051,"Gunnison County, Colorado",B19013_001,56577,5212
08053,"Hinsdale County, Colorado",B19013_001,56339,6265
08055,"Huerfano County, Colorado",B19013_001,38137,4005
08057,"Jackson County, Colorado",B19013_001,53300,7988
08059,"Jefferson County, Colorado",B19013_001,82986,1188
